"fprd__Allow_row_creation__c","fprd__Allow_row_deletion__c","fprd__Complex_default_value__c","fprd__Complex_sections_descending_order__c","fprd__Complex_section_order_by__c","fprd__Default_value__c","fprd__Descending_order__c","fprd__DeveloperName__c","fprd__First_expanded__c","fprd__Full_width__c","fprd__Header_order__c","fprd__Header__c","fprd__Hidden__c","fprd__Important__c","fprd__Label__c","fprd__Lightning_component_api_name__c","fprd__Lightning_component_attributes__c","fprd__LoV_labels__c","fprd__LoV_values__c","fprd__Lower_limit__c","fprd__Mandatory__c","fprd__Map_field__c","fprd__Max_complex_sections__c","fprd__Order__c","fprd__Product__r.Unique_id__c","fprd__Read_only__c","fprd__Related_map_fields__c","fprd__Section_name__c","fprd__Section_order__c","fprd__Table_default_value__c","fprd__Table_order_by__c","fprd__Table__r.fprd__DeveloperName__c","fprd__Type__c","fprd__Upper_limit__c","fprd__Values_control_field__c","fprd__Version_from__c","fprd__Version_to__c","fprd__Visibility_condition__c","fprd__Visibility_control_field__c","fprd__Visibility_control_value__c"
"false","false","","false","","","false","Cuenta_vinculada_PC00024","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","1.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","",""
"false","false","","false","","","false","Amortizacion_PC00024","false","false","","false","false","false","Amortización","","","Mensual,Trimestral,Semestral,Anual","01,02,03,04","","false","cpliq_Amortizacion__c","","7.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00024","En cuotas"
"false","false","","false","","","false","Fecha_Vencimiento_PC00024","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","5.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","date","","","","","","Tipo_amortizacion_PC00024","Al vencimiento"
"false","false","","false","","02","false","Periodicidad_Gracia_PC00024","false","false","","false","false","false","Periodicidad de gracia","","","Meses,Años","02,03","","false","cpliq_Periodicidad_gracia__c","","6.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00024","En cuotas"
"false","false","","false","","","false","n_Gracia_PC00024","false","false","","false","false","false","Plazo de gracia","","","","","","false","cpliq_n_gracia__c","","5.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","Tipo_amortizacion_PC00024","En cuotas"
"false","false","","false","","02","false","Periodicidad_PC00024","false","false","","false","false","false","Periodicidad","","","Meses,Años","02,03","","false","cpliq_Periodicidad__c","","4.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","02","false","Tipo_amortizacion_PC00024","false","false","","false","false","false","Tipo amortización","","","Al vencimiento,En cuotas,A medida","01,02,03","","false","cpliq_Tipo_amortizacion__c","","2.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Codigo_Simulacion_PC00024","false","false","","false","false","false","Código simulación","","","","","","false","cpliq_Codigo_Simulacion__c","","5.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","Tipo_amortizacion_PC00024","A medida"
"false","false","","false","","","false","n_PC00024","false","false","","false","false","false","Plazo","","","","","","false","cpliq_n__c","","3.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","",""
"false","false","","false","","","false","PlazoIG_PC00024","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","4.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","",""
